Label,VoxelCount,Volume,Centroid.X,Centroid.Y,Centroid.Z
1225,35565,35565,268.737,877.185,56.191
1226,17975,17975,991.053,1006.409,50.885
1227,21121,21121,174.421,17.048,55.998
1228,20018,20018,623.471,30.072,56.876
1229,37418,37418,440.613,77.912,58.202
1230,23658,23658,293.168,142.198,57.369
1231,25706,25706,446.406,309.605,58.036
1232,24265,24265,414.488,322.057,59.165
1233,21661,21661,212.425,330.939,58.240
1234,21792,21792,62.131,408.848,57.136
1235,6438,6438,659.460,417.656,50.549
1236,18785,18785,962.873,424.707,57.577
1237,21548,21548,436.677,441.696,58.773
1238,18841,18841,1011.411,487.661,59.727
1239,29271,29271,507.159,514.920,57.317
1240,16122,16122,948.781,516.474,57.953
1241,31189,31189,771.042,522.894,58.742
1242,17332,17332,126.985,544.015,55.801
1243,25626,25626,970.650,590.693,58.335
1244,27363,27363,780.393,616.450,56.752
1245,25364,25364,238.839,641.032,59.558
1246,37414,37414,558.281,655.623,57.989
1247,22922,22922,928.023,678.206,56.651
1248,28619,28619,246.566,683.708,57.506
1249,26100,26100,829.694,736.887,58.040
1250,23945,23945,566.771,766.881,60.015
1251,22061,22061,161.823,782.617,56.535
1252,21968,21968,935.196,793.039,57.311
1253,19355,19355,38.968,818.890,57.273
1254,22768,22768,672.269,856.866,58.127
1255,28355,28355,461.816,883.857,57.194
1256,18859,18859,54.072,919.782,55.887
1257,25031,25031,139.464,917.779,54.058
1258,19564,19564,20.094,982.462,56.245
1259,33894,33894,800.164,1001.302,57.874
1260,11739,11739,766.474,1015.656,59.095
1261,23666,23666,96.380,43.999,58.504
1262,24104,24104,1008.444,44.511,59.357
1263,19981,19981,122.396,309.332,57.017
1264,27014,27014,482.125,311.472,59.982
1265,23701,23701,447.017,354.653,59.809
1266,19902,19902,21.017,370.831,58.381
1267,25137,25137,711.226,424.372,59.713
1268,20290,20290,222.877,567.101,57.396
1269,23605,23605,300.500,584.058,56.263
1270,15817,15817,14.531,624.290,58.328
1271,34751,34751,637.015,682.922,59.738
1272,15131,15131,1013.943,689.321,58.435
1273,18638,18638,48.226,704.820,57.923
1274,17567,17567,206.150,717.756,57.995
1275,17502,17502,11.903,745.358,55.698
1276,26128,26128,824.670,857.695,57.473
1277,32237,32237,631.182,859.310,58.387
1278,28407,28407,225.941,893.188,58.561
1279,26439,26439,626.475,917.828,59.573
1280,21938,21938,924.767,41.731,59.173
1281,20093,20093,714.502,70.886,59.654
1282,25756,25756,479.293,102.557,59.336
1283,24309,24309,947.713,82.702,58.867
1284,15599,15599,118.034,172.377,58.456
1285,21936,21936,63.525,184.393,59.741
1286,22117,22117,935.148,324.768,59.949
1287,19248,19248,357.338,369.296,59.273
1288,1342,1342,39.636,481.230,47.823
1289,17595,17595,757.500,483.330,60.054
1290,19386,19386,278.432,523.807,58.325
1291,16964,16964,400.827,546.349,59.747
1292,21647,21647,922.297,592.118,59.662
1293,22745,22745,426.037,710.733,59.353
1294,20423,20423,178.961,744.093,57.260
1295,22041,22041,450.234,792.348,59.257
1296,25254,25254,556.876,834.504,59.101
1297,17010,17010,312.772,919.342,58.995
1298,25618,25618,694.205,927.651,57.576
1299,17427,17427,538.653,941.085,62.222
1300,16441,16441,97.960,967.614,59.240
1301,35816,35816,468.875,992.192,60.047
1302,24712,24712,997.146,280.217,60.205
1303,17338,17338,390.423,318.583,58.612
1304,33609,33609,638.437,349.489,58.840
1305,28450,28450,1005.075,360.576,58.824
1306,30155,30155,553.494,369.173,59.260
1307,20011,20011,398.407,444.339,60.005
1308,22163,22163,899.462,469.976,58.277
1309,3910,3910,211.249,519.250,51.172
1310,12325,12325,29.388,544.916,58.357
1311,13385,13385,24.954,650.726,58.959
1312,21298,21298,404.938,660.857,59.572
1313,29333,29333,723.869,667.480,58.117
1314,29713,29713,655.960,762.118,60.037
1315,17588,17588,407.034,910.544,60.901
1316,22676,22676,306.534,958.399,60.335
1317,14811,14811,70.458,30.118,59.430
1318,23540,23540,506.450,58.514,58.962
1319,24450,24450,65.861,102.110,59.578
1320,18793,18793,196.136,143.111,59.273
1321,22844,22844,276.113,420.455,58.295
1322,9209,9209,155.704,445.591,58.682
1323,16059,16059,178.540,481.644,58.127
1324,19603,19603,92.939,660.810,58.352
1325,19400,19400,793.621,823.414,59.606
1326,18115,18115,425.923,859.833,61.213
1327,7786,7786,105.436,1015.042,57.093
1328,8122,8122,928.365,1016.111,60.930
1329,9628,9628,93.268,10.206,60.635
1330,20688,20688,284.915,19.749,59.328
1331,25884,25884,753.309,142.791,59.295
1332,20414,20414,41.782,209.054,60.184
1333,19959,19959,309.298,262.801,60.085
1334,388,388,158.941,352.397,50.923
1335,13862,13862,78.896,369.632,60.108
1336,16186,16186,156.201,378.732,60.320
1337,19464,19464,995.087,423.572,60.127
1338,15705,15705,417.012,598.342,60.452
1339,26567,26567,787.060,698.462,61.219
1340,16654,16654,1005.943,760.055,58.163
1341,2897,2897,2.888,772.180,58.710
1342,15362,15362,116.391,923.763,60.378
1343,17289,17289,366.100,929.496,60.758
1344,17101,17101,469.779,929.751,60.432
1345,33450,33450,420.531,982.167,60.544
1346,19227,19227,277.562,990.516,59.554
1347,16621,16621,985.240,124.465,60.666
1348,15101,15101,265.517,167.473,61.599
1349,14989,14989,216.692,253.607,60.371
1350,18646,18646,414.011,266.059,60.670
1351,26763,26763,683.351,291.503,61.462
1352,15186,15186,44.083,291.926,61.350
1353,11692,11692,351.860,430.166,61.160
1354,20766,20766,831.843,460.129,60.905
1355,14861,14861,1007.349,540.576,60.742
